drugname	freq	pct	api	class	classcode	formulation
HYDROCODONE-ACETAMINOPHEN	9719711	21.12	hydrocodone	opioid	1	IR
ALPRAZOLAM	4323339	9.39	alprazolam	benzo	7	.
OXYCODONE-ACETAMINOPHEN	3381247	7.35	oxycodone	opioid	1	IR
ZOLPIDEM TARTRATE	3341573	7.26	zolpidem	sleep aid	5	.
CLONAZEPAM	3013356	6.55	clonazepam	benzo	7	.
LORAZEPAM	1895932	4.12	lorazepam	benzo	7	.
DIAZEPAM	1427755	3.1	diazepam	benzo	7	.
OXYCODONE HCL	1303556	2.83	oxycodone	opioid	1	IR
OXYCODONE HCL-ACETAMINOPHEN	1016507	2.21	oxycodone	opioid	1	IR
AMPHETAMINE SALT COMBO	934546	2.03	amphetamine	stimulant	4	.
LYRICA	922233	2	pregabalin	other	10	.
VYVANSE	888568	1.93	lisdexamfetamine	stimulant	4	.
PHENTERMINE HCL	806515	1.75	phenteramine	stimulant	4	.
TEMAZEPAM	657580	1.43	temazepam	benzo	7	.
ACETAMINOPHEN-CODEINE	650790	1.41	codeine	opioid	1	IR
DEXTROAMPHETAMINE-AMPHETAMINE	610662	1.33	amphetamine	stimulant	4	.
METHYLPHENIDATE ER	447192	0.97	methylphenidate	stimulant	4	.
FENTANYL	443318	0.96	fentanyl	opioid	1	ER
METHADONE HCL	415984	0.9	methadone	opioid	1	ER
ENDOCET	413290	0.9	oxycodone	opioid	1	IR
LUNESTA	390353	0.85	eszopicline	sleep aid	5	.
HYDROCODONE-HOMATROPINE MBR	384833	0.84	hydrocodone	opioid	1	IR
MORPHINE SULFATE ER	378656	0.82	morphine	opioid	1	ER
SUBOXONE	368696	0.8	buprenorphine	addiction	8	.
FOCALIN XR	356072	0.77	dexmethylphenidate	stimulant	4	.
CHERATUSSIN AC	347740	0.76	codeine	cough	3	.
OXYCONTIN	346718	0.75	oxycodone	opioid	1	ER
AMBIEN CR	334779	0.73	zolpidem	sleep aid	5	.
CONCERTA	318485	0.69	methylphenidate	stimulant	4	.
ANDROGEL	315808	0.69	testosterone	steroid	9	.
HYDROCODONE-CHLORPHENIRAMINE	286299	0.62	hydrocodone	cough	3	.
CARISOPRODOL	250679	0.54	carisoprodol	other	10	.
METHYLPHENIDATE HCL	233154	0.51	methylphenidate	stimulant	4	.
HYDROMET	221060	0.48	hydrocodone	cough	3	.
PHENOBARBITAL	210869	0.46	phenobarbital	barb	6	.
ZOLPIDEM TARTRATE ER	206171	0.45	zolpidem	sleep aid	5	.
DIPHENOXYLATE-ATROPINE	198324	0.43	atropine	other	10	.
