Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,205831,APTENSIO XR,(METHYLPHENIDATE HYDROCHLORIDE),20190621,Central Nervous System Stimulant,1955,RHODES PHARMACEUTICALS L P,2015/04/17-,42858-401; 42858-402; 42858-403; 42858-404; 42858-405; 42858-406; 42858-407,4B3SC438HI,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE,207ZZ9QZ49,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5adedc01-ebf0-11e3-ac10-0800200c9a66/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5adedc01-ebf0-11e3-ac10-0800200c9a66,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5adedc01-ebf0-11e3-ac10-0800200c9a66,5adedc01-ebf0-11e3-ac10-0800200c9a66
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89536,"ACETAMINOPHEN, BUTALBITAL AND CAFFEINE","ACETAMINOPHEN, BUTALBITAL AND CAFFEINE",20110209,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,STAT RX USA LLC,1988/02/16-,16590-022,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8e99c982-50ca-49d7-b80a-b60aa18401cb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e99c982-50ca-49d7-b80a-b60aa18401cb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8e99c982-50ca-49d7-b80a-b60aa18401cb,8e99c982-50ca-49d7-b80a-b60aa18401cb
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,204209,"Acetaminophen, Caffeine and Dihydrocodeine Bitartrate","ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",20190814,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,LARKEN LABORATORIES INC,2016/10/04-,68047-720,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/28bb5975-32f6-414a-84ed-c376da575e3f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=28bb5975-32f6-414a-84ed-c376da575e3f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=28bb5975-32f6-414a-84ed-c376da575e3f,28bb5975-32f6-414a-84ed-c376da575e3f
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204785,"Acetaminophen, Caffeine, Dihydrocodeine Bitartrate","ACETAMINOPHEN, CAFFEINE, DIHYDROCODEINE BITARTRATE",20190508,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,XSPIRE PHARMA LLC,2015/08/05-,42195-840,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/76e033b0-01c1-42df-bb64-f8ca401cfb6b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=76e033b0-01c1-42df-bb64-f8ca401cfb6b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=76e033b0-01c1-42df-bb64-f8ca401cfb6b,76e033b0-01c1-42df-bb64-f8ca401cfb6b
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204785,Trezix,"ACETAMINOPHEN, CAFFEINE, DIHYDROCODEINE BITARTRATE",20190301,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,WRASER LLC,2014/12/01-,66992-840,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a519a201-bcfd-4029-9bdf-fc3e03f975ac/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a519a201-bcfd-4029-9bdf-fc3e03f975ac,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a519a201-bcfd-4029-9bdf-fc3e03f975ac,a519a201-bcfd-4029-9bdf-fc3e03f975ac
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204785,Trezix,"ACETAMINOPHEN, CAFFEINE, DIHYDROCODEINE BITARTRATE",20181201,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,PROFICIENT RX LP,2014/12/01-,63187-705,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/45c3c2a1-6a89-471e-b6d4-5a4cd73b987a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=45c3c2a1-6a89-471e-b6d4-5a4cd73b987a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=45c3c2a1-6a89-471e-b6d4-5a4cd73b987a,45c3c2a1-6a89-471e-b6d4-5a4cd73b987a
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204785,Trezix,"ACETAMINOPHEN, CAFFEINE, DIHYDROCODEINE BITARTRATE",20170615,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,BRYANT RANCH PREPACK,2014/12/01-,63629-5637,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f90f87cb-77ad-45f4-8b59-09459090d988/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f90f87cb-77ad-45f4-8b59-09459090d988,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f90f87cb-77ad-45f4-8b59-09459090d988,f90f87cb-77ad-45f4-8b59-09459090d988
HUMAN PRESCRIPTION DRUG LABEL,"SUSPENSION, EXTENDED RELEASE",ORAL,NDA,208147,Dyanavel XR,AMPHETAMINE,20190206,Central Nervous System Stimulant,1960,TRIS PHARMA INC,2015/10/01-,27808-102,CK833KGX7E,AMPHETAMINE,AMPHETAMINE,CK833KGX7E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a8a7eb93-4192-4826-bbf1-82c06634f553/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a8a7eb93-4192-4826-bbf1-82c06634f553,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a8a7eb93-4192-4826-bbf1-82c06634f553,a8a7eb93-4192-4826-bbf1-82c06634f553
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, ORALLY DISINTEGRATING",ORAL,NDA,204326,Adzenys XR-ODT,AMPHETAMINE,20180209,Central Nervous System Stimulant,1960,NEOS THERAPEUTICS LP,2016/02/16-,70165-005; 70165-010; 70165-015; 70165-020; 70165-025; 70165-030,CK833KGX7E,Amphetamine,Amphetamine,CK833KGX7E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c1179269-00b5-48ea-972d-31e614e99b7e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c1179269-00b5-48ea-972d-31e614e99b7e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c1179269-00b5-48ea-972d-31e614e99b7e,c1179269-00b5-48ea-972d-31e614e99b7e
HUMAN PRESCRIPTION DRUG LABEL,"SUSPENSION, EXTENDED RELEASE",ORAL,NDA,204325,Adzenys ER,AMPHETAMINE,20171208,Central Nervous System Stimulant,1960,NEOS THERAPEUTICS LP,2017/09/16-,70165-003,CK833KGX7E,Amphetamine,Amphetamine,CK833KGX7E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/eb1cc8d0-4231-41ea-8535-4fd872129713/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=eb1cc8d0-4231-41ea-8535-4fd872129713,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=eb1cc8d0-4231-41ea-8535-4fd872129713,eb1cc8d0-4231-41ea-8535-4fd872129713
