0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
1|1|ACETAMINOPHEN |BUTALBITAL |CAFFEINE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |Silicon Dioxide ||||||||||||||||||||||||
2|2|ACETAMINOPHEN |CAFFEINE |DIHYDROCODEINE BITARTRATE |SILICON DIOXIDE |CROSPOVIDONE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, PREGELATINIZED CORN |STEARIC ACID |POVIDONE K30 ||||||||||||||||||||
3|3|ACETAMINOPHEN |CAFFEINE |DIHYDROCODEINE BITARTRATE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |FD&C RED NO. 40 |GELATIN, UNSPECIFIED ||||||||||||||||||||
4|4|ACETAMINOPHEN |CAFFEINE |DIHYDROCODEINE BITARTRATE |CROSPOVIDONE |MAGNESIUM STEARATE |POVIDONE |STARCH, CORN |STEARIC ACID |FD&C RED NO. 40 |GELATIN ||||||||||||||||||||
5|5|ACETAMINOPHEN |CAFFEINE |DIHYDROCODEINE BITARTRATE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |CROSPOVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |FD&C RED NO. 40 |GELATIN, UNSPECIFIED ||||||||||||||||||||
6|6|ACETAMINOPHEN |CAFFEINE |DIHYDROCODEINE BITARTRATE |CROSPOVIDONE, UNSPECIFIED |MAGNESIUM STEARATE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |FD&C RED NO. 40 |GELATIN, UNSPECIFIED ||||||||||||||||||||
7|7|AMPHETAMINE |ANHYDROUS CITRIC ACID |GLYCERIN |METHYLPARABEN |MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) |POLYSORBATE 80 |POVIDONE |POLYVINYL ACETATE |PROPYLPARABEN |SODIUM LAURYL SULFATE |SODIUM POLYSTYRENE SULFONATE |SUCRALOSE |TRIACETIN |XANTHAN GUM ||||||||||||||||
8|8|Amphetamine |Mannitol |Crospovidone (15 MPA.S AT 5%) |MICROCRYSTALLINE CELLULOSE |Methacrylic Acid |Sodium Polystyrene Sulfonate |Citric Acid Monohydrate |Fructose |Silicon Dioxide |Triethyl Citrate |Sucralose |Magnesium Stearate |Polyethylene Glycol, Unspecified |||||||||||||||||
9|9|Amphetamine |Water |Sorbitol |Propylene Glycol |Xanthan Gum |Methacrylic Acid |Sodium Polystyrene Sulfonate |Corn Oil |Triethyl Citrate |Methylparaben |Citric Acid Monohydrate |Sucralose |Propylparaben |Polyethylene Glycol, Unspecified ||||||||||||||||
10|10|Amphetamine Sulfate |CROSPOVIDONE (15 MPA.S AT 5%) |MICROCRYSTALLINE CELLULOSE |stearic acid |FD&C Blue No. 1 |||||||||||||||||||||||||
11|11|           |||||||||||||||||||||||||||||
12|12|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONES |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
13|13|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
14|14|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |STARCH, CORN |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |SODIUM STARCH GLYCOLATE TYPE A POTATO  |STEARIC ACID |||||||||||||||||||
15|15|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |GELATIN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |TITANIUM DIOXIDE |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |||||||||||||||||||
16|16|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |GELATIN |MAGNESIUM STEARATE |SILICON DIOXIDE |TITANIUM DIOXIDE |||||||||||||||||||||
17|17|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |GELATIN |MAGNESIUM STEARATE |SILICON DIOXIDE |TITANIUM DIOXIDE |||||||||||||||||||||
18|18|CAFFEINE |BUTALBITAL |ACETAMINOPHEN |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |STARCH, PREGELATINIZED CORN |STEARIC ACID |POVIDONE |TALC |GELATIN |TITANIUM DIOXIDE |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |FD&C YELLOW NO. 6 |FD&C RED NO. 40 |PROPYLENE GLYCOL |HYPROMELLOSE 2910 (6 MPA.S) |FD&C RED NO. 3 |FD&C BLUE NO. 1 |||||||||||
19|19|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONE |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
20|20|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
